2025-10-26 00:00:34 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 16985s, Memory: 81.75/135.00MB, CPU Cores: 8, Requests: 0, Connections: 22
2025-10-26 00:01:34 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 17045s, Memory: 82.28/135.00MB, CPU Cores: 8, Requests: 0, Connections: 41
2025-10-26 00:02:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 17114s, Memory: 82.33/135.00MB, CPU Cores: 8, Requests: 0, Connections: 9
2025-10-26 00:03:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 17174s, Memory: 82.46/135.00MB, CPU Cores: 8, Requests: 0, Connections: 25
2025-10-26 00:04:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 17234s, Memory: 82.60/135.00MB, CPU Cores: 8, Requests: 0, Connections: 16
2025-10-26 00:05:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 17294s, Memory: 82.60/135.00MB, CPU Cores: 8, Requests: 0, Connections: 31
2025-10-26 00:06:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 17354s, Memory: 82.71/135.00MB, CPU Cores: 8, Requests: 0, Connections: 33
2025-10-26 00:07:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 17414s, Memory: 82.75/135.00MB, CPU Cores: 8, Requests: 0, Connections: 42
2025-10-26 00:08:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 17474s, Memory: 82.75/135.00MB, CPU Cores: 8, Requests: 0, Connections: 43
2025-10-26 00:09:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 17534s, Memory: 82.95/135.00MB, CPU Cores: 8, Requests: 0, Connections: 33
2025-10-26 00:10:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 17594s, Memory: 82.99/135.00MB, CPU Cores: 8, Requests: 0, Connections: 8
2025-10-26 00:11:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 17654s, Memory: 83.06/135.00MB, CPU Cores: 8, Requests: 0, Connections: 28
2025-10-26 00:12:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 17714s, Memory: 83.10/135.00MB, CPU Cores: 8, Requests: 0, Connections: 47
2025-10-26 00:13:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 17774s, Memory: 83.15/135.00MB, CPU Cores: 8, Requests: 0, Connections: 35
2025-10-26 00:14:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 17834s, Memory: 83.29/135.00MB, CPU Cores: 8, Requests: 0, Connections: 28
2025-10-26 00:15:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 17894s, Memory: 83.37/135.00MB, CPU Cores: 8, Requests: 0, Connections: 11
2025-10-26 00:16:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 17954s, Memory: 83.46/135.00MB, CPU Cores: 8, Requests: 0, Connections: 22
2025-10-26 00:17:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 18014s, Memory: 83.50/135.00MB, CPU Cores: 8, Requests: 0, Connections: 18
2025-10-26 00:18:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 18074s, Memory: 83.50/135.00MB, CPU Cores: 8, Requests: 0, Connections: 31
2025-10-26 00:19:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 18134s, Memory: 83.62/135.00MB, CPU Cores: 8, Requests: 0, Connections: 11
2025-10-26 00:20:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 18194s, Memory: 83.71/135.00MB, CPU Cores: 8, Requests: 0, Connections: 16
2025-10-26 00:21:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 18254s, Memory: 83.82/135.00MB, CPU Cores: 8, Requests: 0, Connections: 13
2025-10-26 00:22:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 18314s, Memory: 83.91/135.00MB, CPU Cores: 8, Requests: 0, Connections: 18
2025-10-26 00:23:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 18374s, Memory: 83.98/135.00MB, CPU Cores: 8, Requests: 0, Connections: 12
